day,meal,recipe,ingredients,calories,protein_g,fat_g,carbs_g,prep_time_min,dietary_label
Monday,Breakfast,"Greek Yogurt Parfait","Greek yogurt (200g), mixed berries (100g), almonds (20g)",420,28,18,32,5,"High Protein"
Monday,Morning Snack,"Apple + Peanut Butter","Apple (medium), peanut butter (1 tbsp)",220,6,16,20,2,"Balanced"
Monday,Lunch,"Chicken Quinoa Salad","Grilled chicken (150g), quinoa (100g cooked), mixed greens, cherry tomatoes, olive oil dressing",650,45,22,48,15,"High Protein"
Monday,Afternoon Snack,"Carrot Sticks + Hummus","Carrots (150g), hummus (50g)",180,5,10,22,3,"Plant-Based"
Monday,Dinner,"Baked Salmon + Veggies","Salmon fillet (150g), broccoli (200g), sweet potato (200g), olive oil",680,42,32,45,25,"Omega-3 Rich"
Tuesday,Breakfast,"Avocado Toast + Egg","Whole grain toast (1 slice), avocado (1/2), poached egg",380,15,25,28,7,"Healthy Fats"
Tuesday,Morning Snack,"Greek Yogurt + Honey","Greek yogurt (150g), honey (1 tsp)",200,18,5,15,2,"High Protein"
Tuesday,Lunch,"Chickpea Feta Salad","Chickpeas (200g), feta (50g), cucumber, olives, lemon dressing",580,22,28,52,10,"Mediterranean"
Tuesday,Afternoon Snack,"Mixed Nuts","Almonds, walnuts, cashews (30g)",220,6,20,6,1,"Healthy Fats"
Tuesday,Dinner,"Turkey Meatballs + Zucchini Noodles","Ground turkey (150g), zucchini noodles (200g), tomato sauce",620,45,25,28,20,"Low Carb"
Wednesday,Breakfast,"Chia Overnight Oats","Oats (50g), chia seeds (20g), almond milk, banana",450,12,20,65,5,"Plant-Based"
Wednesday,Morning Snack,"Banana + Almond Butter","Banana (medium), almond butter (1 tbsp)",250,5,15,35,2,"Plant-Based"
Wednesday,Lunch,"Lentil Soup + Bread","Lentil soup (300g), whole grain bread (1 slice)",550,25,8,85,10,"Plant-Based"
Wednesday,Afternoon Snack,"Cottage Cheese + Pineapple","Cottage cheese (150g), pineapple chunks (100g)",250,25,5,20,3,"High Protein"
Wednesday,Dinner,"Veggie Stir-Fry + Brown Rice","Mixed veggies (300g), tofu (150g), brown rice (100g cooked)",650,28,20,75,20,"Plant-Based"
Thursday,Breakfast,"Protein Smoothie","Whey protein (30g), spinach, banana, almond milk",400,35,5,40,5,"High Protein"
Thursday,Morning Snack,"Celery + Cream Cheese","Celery sticks (150g), cream cheese (50g)",200,5,18,8,3,"Low Carb"
Thursday,Lunch,"Tuna Salad Wrap","Tuna (120g), whole wheat wrap, lettuce, tomato",550,40,20,40,10,"High Protein"
Thursday,Afternoon Snack,"Protein Bar",Protein bar (1),200,20,8,15,0,"Convenience"
Thursday,Dinner,"Chicken Stir-Fry + Cauliflower Rice","Chicken breast (150g), mixed veggies, cauliflower rice",580,48,15,30,20,"Low Carb"
Friday,Breakfast,"Cottage Cheese + Fruit","Cottage cheese (200g), pineapple (100g)",300,30,5,20,3,"High Protein"
Friday,Morning Snack,"Trail Mix","Nuts, seeds, dried fruit (40g)",250,6,18,20,2,"Balanced"
Friday,Lunch,"Turkey Burger + Fries","Turkey patty (150g), whole grain bun, sweet potato fries",700,45,25,65,15,"Treat Day"
Friday,Afternoon Snack,"Greek Yogurt",Greek yogurt (150g),150,18,5,8,1,"High Protein"
Friday,Dinner,"Shrimp Tacos + Slaw","Shrimp (150g), corn tortillas (2), cabbage slaw",650,40,20,55,20,"Balanced"
Saturday,Breakfast,"Egg Muffins + Fruit","Egg muffins (3), mixed fruit",400,25,25,20,15,"Batch Prep"
Saturday,Morning Snack,"Protein Shake",Whey + water,200,30,2,5,2,"High Protein"
Saturday,Lunch,"Mason Jar Salad","Chicken, quinoa, veggies, dressing",600,40,20,50,10,"Batch Prep"
Saturday,Dinner,"Beef Stir-Fry + Veggies","Lean beef (150g), mixed veggies, rice",650,45,25,50,20,"Balanced"
Sunday,Breakfast,"Chia Pudding","Chia seeds, almond milk, nuts",400,12,25,35,10,"Recovery"
Sunday,Morning Snack,"Hard Boiled Eggs",Eggs (2),160,14,10,2,10,"High Protein"
Sunday,Lunch,"Egg Salad + Avocado","Eggs (3), avocado, whole grain crackers",550,25,40,25,10,"Recovery"
Sunday,Dinner,"Roasted Veggies + Fish","White fish (150g), roasted veggies",500,40,20,25,25,"Recovery"